"sample","NZ_CP045108","NZ_CP045109","NZ_CP045110"
"SRR3225241",2605,408,655295
"SRR3225242",1079,210,611724
"SRR3225244",5191,4994,518463
"SRR3225248",1680,358,791234
"SRR3226989",1074,227,547852
"SRR3227002",170,0,561650
"SRR3227004",474,0,521491
"SRR3227005",0,0,728892
"SRR3227007",0,0,823761
"SRR3227008",2494,556,761587
"SRR3227011",0,1225,726718
"SRR3227028",450,2185,441979
"SRR3227030",0,0,417544
"SRR3227031",2786,0,448069
"SRR3227037",866,0,506249
"SRR3227045",0,0,393368
"SRR3227048",6363,0,919854
"SRR3228479",0,0,940193
"SRR3228491",2045,347,628584
"SRR3228493",296,0,546738
"SRR3228534",0,0,576682
"SRR3228537",698,176,685152
"SRR3228538",613,3445,821009
"SRR3228539",0,0,550319
"SRR3228544",235,179,630915
"SRR3228549",233,2039,564775
"SRR3228557",0,0,551791
"SRR3228559",620,268,731956
"SRR3228561",1046,1348,600090
"SRR3228563",644,281,621844
"SRR3228564",0,0,723067
"SRR3228569",379,147,566504
"SRR3228575",1016,0,990773
"SRR3242034",622,271,50925
"SRR3242039",0,0,580490
"SRR3242044",342,201,623006
"SRR3242051",1473,0,574253
"SRR3502988",18737,4633,2185899
"SRR3502996",3379,1870,1564782
"SRR3503026",9463,2694,2073394
"SRR3503028",2716,917,907810
"SRR3503035",7245,0,1845524
"SRR3503038",0,0,1544433
"SRR3503443",7079,0,1375467
"SRR3503444",0,3014,1151185
"SRR3503451",3570,1212,1254513
"SRR3503456",6697,1829,1236439
"SRR3503459",1626,0,1096878
"SRR3503476",3074,1148,1031737
"SRR3503602",2209,0,1216720
"SRR3503603",22156,7626,7320939
"SRR3503610",4837,1544,1411141
"SRR3503615",3427,1168,1285945
"SRR3503622",3080,947,1010235
"SRR3503626",8246,2467,2320483
"SRR3503631",1263,583,304045
"SRR3503820",3935,1280,1154979
"SRR3503822",6457,1951,2253261
"SRR3503825",8295,2273,1871812
"SRR3503827",6420,1970,1792122
"SRR3503836",1854,0,1279437
"SRR3503841",3558,1307,1489859
"SRR3503843",4799,1662,1775009
"SRR3503900",2784,832,915513
"SRR3503903",3033,2297,1767140
"SRR3503907",2739,1635,1346190
"SRR3503909",4440,1608,1524877
"SRR3503910",4161,1411,1865835
"SRR3503911",3057,990,1248761
"SRR3503913",4757,1573,2079937
"SRR3504013",0,0,1791250
"SRR3504014",3802,1121,1187200
"SRR3504016",2761,1019,899591
"SRR3504095",5319,1695,1993434
"SRR3504097",6021,1866,1920556
"SRR3504099",4776,1585,2081917
"SRR3504218",5988,1555,1261810
"SRR3536229",20415,4965,2739402
"SRR3649788",5023,1258,1365929
"SRR4417569",0,0,829396
"SRR4417570",1010,0,722203
"SRR4417571",0,0,788555
"SRR4417572",0,0,787145
"SRR4417573",0,0,676951
"SRR4417574",0,0,685009
"SRR4417575",1631,803,645516
"SRR4417577",1702,384,619825
"SRR4417578",1563,829,739105
"SRR4417581",1814,456,683302
"SRR4417582",530,226,232459
"SRR4417583",0,0,807419
"SRR4417585",898,484,502623
"SRR4417586",0,0,482422
"SRR4417587",0,0,547652
"SRR4417589",1286,0,557606
"SRR4417590",115,0,554905
"SRR4417591",438,0,611245
"SRR4417592",944,828,561268
"SRR4417593",237,0,631085
"SRR4417594",1738,1426,732017
"SRR4417595",427,0,588083
"SRR4417598",0,0,693707
"SRR4417599",1845,937,707881
"SRR4417600",0,0,630612
"SRR4417601",0,0,855264
"SRR4417602",519,0,701649
"SRR4417603",1028,331,641440
"SRR4417604",0,0,710601
"SRR4417605",472,0,651911
"SRR4417606",1803,455,677281
"SRR4417608",0,0,741770
"SRR4417609",1493,352,748229
"SRR4417610",0,0,744852
"SRR4417611",0,0,715214
"SRR4417612",890,252,714587
"SRR4417613",772,310,775078
"SRR4417614",0,0,764639
"SRR5120223",18027,4986,1801623
"SRR5237398",8182,3998,593745
"SRR5445923",4091,933,992620
"SRR5445925",7475,1884,1637818
"SRR5477433",0,0,1043780
"SRR5477437",0,0,768656
"SRR5862467",8758,2360,1208188
"SRR5862475",7091,1758,861402
"SRR5891472",0,0,1710664
"SRR5891473",0,0,1625622
"SRR5891475",0,0,1937515
"SRR5891477",0,0,2156622
"SRR5891479",0,0,1721065
"SRR5891485",0,0,1908774
"SRR5891486",0,0,1644263
"SRR5891491",0,0,1213864
"SRR5891492",0,0,2160474
"SRR5891493",0,0,1303902
"SRR5891495",0,0,1440409
"SRR5891499",0,0,1512178
"SRR5901132",7197,2027,589693
"SRR654213",7563,4382,1491714
"SRR654250",0,0,2059215
"SRR654292",6851,1778,1386143
"SRR654338",0,0,2124055
"SRR654382",1681,334,1430002
"SRR654415",52401,2547,2453996
"SRR721188",0,1195,4304763
"SRR721218",135,0,5687362
"SRR728961",0,94,2861229
"SRR728972",43124,85010,3272182
"SRR741913",27167,90694,2216063
"SRR741916",0,0,2939059
"SRR741918",8489,23131,2430149
